,Drive Time,System Rating (kW DC),Roof Type,Tilt 1,Portrait / Landscape,Consumption Monitoring,Module Width,Inverter Manufacturer,Rough Electrical Inspection,Azimuth 1,Total Direct Time for Project for Hourly Employees (Including Drive Time),Install Season,Total # of Hourly Employees on Site,Azimuth 3,Squirrel Screen,# of Arrays,Module Weight,Reinforcements,Interconnection Type,Module Length,Truss / Rafter,Estimated Total # of People on Site,# of Reinforcement,Tilt 2,Panel QTY,Azimuth 2,Array Type,# of Stories,Attachment Type
0,1260,6.84,0,33.0,0,,40.0,0.0,False,180.0,68400,0,2.0,,True,1.0,43.0,False,1,67.8,0,4.0,0.0,,19.0,,0,2.0,3
1,1380,6.57,0,45.0,0,,40.0,0.0,True,139.0,120600,0,2.0,,True,1.0,43.0,True,1,67.8,1,4.0,2.0,,18.0,,0,1.0,3
2,1260,5.12,0,24.0,0,,39.4,0.0,False,180.0,91200,0,2.0,,False,2.0,41.2,False,3,66.3,0,4.0,0.0,,16.0,,0,1.0,3
3,2280,10.8,0,20.0,0,,39.4,1.0,False,104.0,97200,0,2.0,,False,1.0,51.8,False,7,79.3,0,4.0,0.0,,27.0,,0,1.0,3
4,2280,10.8,0,20.0,2,,39.4,1.0,False,180.0,97200,0,2.0,,False,1.0,51.8,False,7,79.3,0,4.0,0.0,,27.0,,0,1.0,3
5,2700,6.12,0,18.4,0,,40.5,0.0,False,180.0,61200,0,2.0,,False,1.0,43.9,False,1,68.5,0,4.0,0.0,,18.0,,0,1.0,1
6,1440,4.225,0,26.0,0,,39.45,0.0,True,200.0,70200,0,2.0,,True,1.0,41.6,False,3,65.43,0,4.0,0.0,,13.0,,0,2.0,3
7,1260,7.3,0,10.0,0,,40.0,0.0,True,205.0,137700,0,2.0,,False,1.0,43.0,False,12,67.8,1,4.0,0.0,,20.0,,0,1.0,3
8,1800,5.76,0,18.0,0,,39.25,0.0,False,185.0,92700,0,2.0,,False,1.0,39.7,False,2,65.94,0,4.0,0.0,,18.0,,0,2.0,1
9,360,5.12,0,31.0,1,,39.25,0.0,True,90.0,121500,0,2.0,,True,1.0,39.7,True,12,65.94,1,4.0,10.0,,16.0,,0,1.0,3
10,960,8.03,0,26.6,0,,40.0,1.0,False,130.0,156600,0,2.0,,True,2.0,43.0,False,1,67.8,0,4.0,0.0,,22.0,,0,2.0,3
11,3060,8.52,0,45.0,0,,40.0,1.0,False,180.0,45900,0,1.0,,False,1.0,43.0,False,5,67.8,0,3.0,0.0,,24.0,,0,2.0,3
12,600,7.3,0,45.0,0,,40.0,0.0,False,215.0,135000,0,2.0,,False,1.0,43.0,False,5,67.8,1,4.0,0.0,,20.0,,0,2.0,3
13,2160,11.005,0,35.0,0,,40.0,0.0,False,230.0,127800,0,2.0,,False,5.0,43.0,False,8,67.8,0,4.0,0.0,27.0,31.0,140.0,0,1.0,3
14,540,11.36,0,24.0,0,,40.0,1.0,True,180.0,145800,0,3.0,,False,3.0,43.0,False,6,67.8,0,5.0,0.0,,32.0,,0,2.0,3
15,1800,7.59,0,32.0,0,,39.21,0.0,False,218.0,106200,0,2.0,,False,2.0,39.7,False,2,66.53,0,4.0,0.0,,23.0,,0,1.0,3
16,1260,6.4,0,24.0,0,,66.9,0.0,False,180.0,72000,0,2.0,,False,2.0,41.0,False,1,39.4,0,4.0,0.0,,20.0,,0,2.0,3
17,1500,4.26,3,14.0,0,,40.0,0.0,True,170.0,87300,1,2.0,,True,1.0,39.7,False,12,66.93,1,4.0,0.0,,12.0,,0,1.0,5
18,420,5.18,0,36.0,0,,39.98,1.0,True,180.0,120600,0,2.0,,True,1.0,41.9,False,3,70.67,0,4.0,0.0,,14.0,,0,1.0,3
19,2940,18.275,2,10.0,1,,40.6,0.0,False,190.0,296100,1,3.0,,False,1.0,55.1,True,1,81.9,2,5.0,2.0,18.0,43.0,,0,1.0,4
20,2640,5.95,0,18.0,0,,40.6,0.0,False,180.0,90000,1,3.0,,False,1.0,55.1,False,10,81.9,1,5.0,0.0,,14.0,,0,1.0,3
21,660,7.4,5,10.0,2,,39.98,1.0,True,235.0,120600,1,3.0,,True,3.0,41.9,False,6,70.67,1,5.0,0.0,38.0,20.0,,0,2.0,8
22,2640,21.07,2,18.0,1,,40.56,0.0,False,180.0,420300,1,3.0,,False,1.0,55.11,False,0,81.89,2,5.0,0.0,,49.0,,0,1.0,4
23,2400,10.36,0,26.0,0,,39.98,0.0,False,108.0,36000,1,1.0,,False,2.0,41.9,False,5,70.67,0,3.0,0.0,,28.0,,0,2.0,3
24,1020,8.76,0,18.0,0,,40.0,1.0,False,185.0,115200,0,2.0,,False,2.0,43.0,False,2,67.8,0,4.0,0.0,21.0,24.0,,0,2.0,3
25,1740,4.44,0,16.0,0,,39.98,1.0,False,178.0,48600,3,2.0,,True,2.0,41.9,False,11,70.67,1,4.0,0.0,16.0,12.0,267.0,0,2.0,3
26,1680,4.9,0,20.0,0,,41.26,2.0,True,,112500,1,3.0,,False,2.0,46.5,False,1,69.44,0,5.0,0.0,,14.0,,0,2.0,3
27,1500,7.81,0,24.0,0,,41.0,1.0,True,180.0,140400,1,2.0,,True,3.0,41.0,False,2,68.5,0,4.0,0.0,,22.0,,0,2.0,3
28,240,4.07,0,25.0,0,,39.98,0.0,True,165.0,85500,1,2.0,,False,1.0,41.9,False,1,70.67,0,4.0,0.0,,11.0,,0,1.0,3
29,960,4.29,0,18.0,0,,39.4,1.0,False,180.0,63000,1,2.0,,False,1.0,41.0,False,1,66.9,0,5.0,0.0,,13.0,,0,1.0,3
30,1560,5.1,0,34.0,0,,40.5,0.0,False,260.0,89700,1,3.0,,False,2.0,43.9,False,1,68.5,0,6.0,0.0,,15.0,,0,2.0,3
31,720,5.92,0,19.0,0,,39.98,1.0,False,177.0,94200,1,3.0,,False,2.0,41.9,False,1,70.67,0,6.0,0.0,,16.0,260.0,0,1.0,3
32,780,4.07,0,18.0,0,,39.98,0.0,False,200.0,87000,1,3.0,,True,1.0,41.9,True,12,70.67,1,6.0,18.0,,11.0,,0,1.0,3
33,2520,4.81,0,30.0,0,,39.98,0.0,False,180.0,105000,1,3.0,,False,1.0,41.9,True,7,70.67,1,6.0,11.0,,13.0,,0,1.0,3
34,900,7.59,0,25.0,0,,39.21,0.0,False,270.0,96300,1,3.0,,False,1.0,39.7,False,1,66.53,0,6.0,0.0,,23.0,,0,1.0,3
35,1260,4.81,0,30.0,0,,39.98,1.0,True,180.0,90900,1,3.0,,True,1.0,41.9,False,1,70.67,0,6.0,0.0,,13.0,,0,1.0,3
36,1560,4.05,3,38.0,1,,41.0,1.0,True,173.0,255600,3,3.0,,False,1.0,50.71,False,3,83.07,1,6.0,0.0,,9.0,,0,1.0,5
37,900,10.73,0,16.0,0,,39.98,1.0,True,192.0,136620,1,3.0,,True,2.0,41.9,False,6,70.67,0,6.0,0.0,,29.0,,0,2.0,3
